sep=;
public;class;InformationModel
preview;class;InformationModel
public;class;InformationPartitionElement
preview;class;InformationPartitionElement
public;class;InformationRecordElement
preview;class;InformationRecordElement
public;class;InformationRecordModel
preview;class;InformationRecordModel
public;class;InformationRecordPartition
preview;class;InformationRecordPartition
public;class;InformationReferenceElement
preview;class;InformationReferenceElement
internal;function;initializeTracing
beta;interface;InlineGeometryPartsResult
public;interface;InsertElementOptions
beta;interface;InstanceChange
public;class;IpcHandler
public;class;IpcHost
public;interface;IpcHostOpts
beta;function;isITextAnnotation
beta;interface;ITextAnnotation
public;interface;ITwinIdArg
public;class;KnownLocations
beta;interface;LayoutTextArgs
beta;function;layoutTextBlock
beta;interface;LayoutTextBlockArgs
internal;class;LightLocation
beta;class;LineLayout
public;class;LineStyle
preview;class;LineStyle
public;namespace;LineStyleDefinition
public;class;LinkElement
preview;class;LinkElement
public;class;LinkModel
preview;class;LinkModel
public;class;LinkPartition
preview;class;LinkPartition
internal;class;LocalhostIpcHost
internal;interface;LocalhostIpcHostOpts
internal;class;LocalHub
beta;class;LockConflict
public;interface;LockControl
public;type;LockMap
public;interface;LockProps
public;enum;LockState
deprecated;enum;LockState
internal;interface;LockStatusExclusive
internal;interface;LockStatusShared
internal;class;MetaDataRegistry
deprecated;class;MetaDataRegistry
internal;interface;MockCheckpoint
public;class;Model
preview;class;Model
public;class;ModelSelector
preview;class;ModelSelector
internal;class;ModelSelectorRefersToModels
public;class;NativeAppStorage
internal;const;_nativeDb
public;class;NativeHost
public;interface;NativeHostOpts
beta;interface;OnAspectArg
beta;interface;OnAspectIdArg
beta;interface;OnAspectPropsArg
beta;interface;OnChildElementArg
beta;interface;OnChildElementIdArg
beta;interface;OnChildElementPropsArg
beta;interface;OnElementArg
beta;interface;OnElementIdArg
beta;interface;OnElementInModelIdArg
beta;interface;OnElementInModelPropsArg
beta;interface;OnElementPropsArg
beta;interface;OnModelArg
beta;interface;OnModelIdArg
beta;interface;OnModelPropsArg
beta;interface;OnSubModelIdArg
beta;interface;OnSubModelPropsArg
public;type;OpenBriefcaseArgs
public;class;OrthographicViewDefinition
preview;class;OrthographicViewDefinition
internal;function;parseTextAnnotationData
beta;class;PartialECChangeUnifier
public;class;PhysicalElement
preview;class;PhysicalElement
public;class;PhysicalElementAssemblesElements
public;class;PhysicalElementFulfillsFunction
public;class;PhysicalElementIsOfPhysicalMaterial
public;class;PhysicalElementIsOfType
public;class;PhysicalMaterial
public;class;PhysicalModel
preview;class;PhysicalModel
public;class;PhysicalObject
public;class;PhysicalPartition
preview;class;PhysicalPartition
public;class;PhysicalType
preview;class;PhysicalType
public;class;PhysicalTypeIsOfPhysicalMaterial
public;class;PlanCallout
public;class;Platform
beta;interface;PostImportContext
beta;interface;PreImportCallbackResult
beta;interface;PreImportContext
internal;interface;ProcessChangesetOptions
beta;function;produceTextBlockGeometry
public;type;ProgressFunction
public;enum;ProgressStatus
beta;class;ProjectInformationRecord
beta;interface;ProjectInformationRecordCreateArgs
public;type;PropertyHandler
preview;type;PropertyHandler
beta;namespace;PropertyStore
public;type;PullChangesArgs
public;interface;PushChangesArgs
beta;interface;QueryLocalChangesArgs
beta;interface;QueryMappedFamiliesArgs
beta;interface;QueryWorkspaceResourcesArgs
beta;type;QueryWorkspaceResourcesCallback
alpha;interface;RebaseHandler
alpha;class;RebaseManager
beta;class;RecipeDefinitionElement
public;class;Relationship
public;class;Relationships
public;class;RenderMaterialElement
public;namespace;RenderMaterialElement
public;interface;RenderMaterialElementParams
public;class;RenderMaterialOwnsRenderMaterials
public;class;RenderTimeline
preview;class;RenderTimeline
public;class;RepositoryLink
preview;class;RepositoryLink
public;class;RepositoryModel
preview;class;RepositoryModel
public;interface;RequestNewBriefcaseArg
public;type;RevertChangesArgs
public;class;RoleElement
preview;class;RoleElement
public;class;RoleModel
preview;class;RoleModel
public;class;RpcTrace
beta;class;RunLayout
alpha;interface;SaveChangesArgs
public;class;Schema
beta;interface;SchemaImportCallbacks
public;interface;SchemaImportOptions
internal;type;SchemaKey
public;class;SchemaMap
internal;type;SchemaMatchType
public;class;Schemas
internal;namespace;SchemaSync
public;class;SectionCallout
public;class;SectionDrawing
preview;class;SectionDrawing
public;class;SectionDrawingLocation
preview;class;SectionDrawingLocation
public;class;SectionDrawingModel
preview;class;SectionDrawingModel
internal;function;setMaxEntitiesPerEvent
beta;type;Setting
beta;namespace;Setting
beta;interface;SettingGroupSchema
beta;type;SettingName
beta;interface;Settings
beta;interface;SettingSchema
beta;interface;SettingsContainer
beta;interface;SettingsDictionary
beta;interface;SettingsDictionaryProps
beta;interface;SettingsDictionarySource
beta;type;SettingsPriority
beta;namespace;SettingsPriority
beta;interface;SettingsSchemas
public;class;Sheet
preview;class;Sheet
public;class;SheetBorderTemplate
preview;class;SheetBorderTemplate
beta;class;SheetIndex
beta;class;SheetIndexEntry
beta;interface;SheetIndexEntryCreateArgs
beta;class;SheetIndexFolder
beta;class;SheetIndexFolderOwnsEntries
beta;class;SheetIndexModel
beta;class;SheetIndexOwnsEntries
beta;class;SheetIndexPartition
beta;class;SheetIndexReference
beta;interface;SheetIndexReferenceCreateArgs
beta;class;SheetIndexReferenceRefersToSheetIndex
beta;class;SheetInformationAspect
public;class;SheetModel
preview;class;SheetModel
beta;class;SheetOwnsSheetInformationAspect
beta;class;SheetReference
beta;interface;SheetReferenceCreateArgs
beta;class;SheetReferenceRefersToSheet
public;class;SheetTemplate
preview;class;SheetTemplate
public;class;SheetViewDefinition
preview;class;SheetViewDefinition
beta;interface;SimplifyElementGeometryArgs
public;class;SnapshotDb
public;type;SnapshotDbOpenArgs
public;class;SpatialCategory
preview;class;SpatialCategory
public;class;SpatialElement
preview;class;SpatialElement
public;class;SpatialLocation
public;class;SpatialLocationElement
preview;class;SpatialLocationElement
public;class;SpatialLocationIsOfType
public;class;SpatialLocationModel
preview;class;SpatialLocationModel
public;class;SpatialLocationPartition
preview;class;SpatialLocationPartition
public;class;SpatialLocationType
preview;class;SpatialLocationType
public;class;SpatialModel
preview;class;SpatialModel
public;class;SpatialViewDefinition
preview;class;SpatialViewDefinition
beta;interface;SqliteChange
beta;type;SqliteChangeOp
beta;class;SqliteChangesetReader
beta;interface;SqliteChangesetReaderArgs
public;class;SQLiteDb
public;namespace;SQLiteDb
internal;interface;BlobIO
public;class;SqliteStatement
public;namespace;SqliteStatement
public;class;SqliteValue
beta;type;SqliteValueStage
public;enum;SqliteValueType
public;class;StandaloneDb
internal;class;StatementCache
internal;interface;StringParam
public;class;SubCategory
preview;class;SubCategory
public;class;Subject
preview;class;Subject
public;class;SubjectOwnsPartitionElements
beta;class;SubjectOwnsProjectInformationRecord
public;class;SubjectOwnsSubjects
beta;class;SynchronizationConfigLink
beta;class;SynchronizationConfigProcessesSources
beta;class;SynchronizationConfigSpecifiesRootSources
beta;class;TemplateRecipe2d
beta;class;TemplateRecipe3d
internal;class;TemplateViewDefinition2d
internal;class;TemplateViewDefinition3d
internal;const;TEXT_ANNOTATION_JSON_VERSION
internal;const;TEXT_STYLE_SETTINGS_JSON_VERSION
public;class;TextAnnotation2d
preview;class;TextAnnotation2d
beta;interface;TextAnnotation2dCreateArgs
public;class;TextAnnotation3d
preview;class;TextAnnotation3d
beta;interface;TextAnnotation3dCreateArgs
beta;class;TextAnnotationUsesTextStyleByDefault
beta;interface;TextBlockAndId
beta;class;TextBlockLayout
internal;interface;TextLayoutRanges
beta;interface;TextStyleCreateArgs
beta;class;TextStyleResolver
beta;interface;TextStyleResolverArgs
public;class;Texture
preview;class;Texture
beta;interface;TextureCreateProps
internal;function;throttleProgressCallback
beta;interface;TileId
beta;class;TileStorage
public;class;TitleText
public;interface;ToChangesetArgs
public;interface;TokenArg
public;interface;TxnChangedEntities
preview;interface;TxnChangedEntities
public;type;TxnIdString
preview;type;TxnIdString
public;class;TxnManager
preview;class;TxnManager
alpha;type;TxnMode
alpha;interface;TxnProps
alpha;type;TxnType
public;class;TypeDefinitionElement
preview;class;TypeDefinitionElement
public;interface;UpdateModelOptions
beta;function;upgradeCustomAttributesToEC3
public;class;UrlLink
preview;class;UrlLink
public;interface;V2CheckpointAccessProps
internal;class;V2CheckpointManager
public;interface;ValidationError
preview;interface;ValidationError
beta;class;VersionedSqliteDb
public;class;ViewAttachment
preview;class;ViewAttachment
public;class;ViewAttachmentLabel
public;class;ViewDefinition
preview;class;ViewDefinition
public;class;ViewDefinition2d
preview;class;ViewDefinition2d
public;class;ViewDefinition3d
preview;class;ViewDefinition3d
beta;namespace;ViewStore
public;class;VolumeElement
preview;class;VolumeElement
public;class;WebMercatorModel
preview;class;WebMercatorModel
beta;interface;Workspace
beta;namespace;Workspace
beta;interface;WorkspaceContainer
beta;type;WorkspaceContainerId
beta;interface;WorkspaceContainerProps
beta;interface;WorkspaceDb
beta;type;WorkspaceDbCloudProps
beta;type;WorkspaceDbFullName
beta;interface;WorkspaceDbLoadError
beta;interface;WorkspaceDbLoadErrors
beta;interface;WorkspaceDbManifest
beta;type;WorkspaceDbName
beta;type;WorkspaceDbNameAndVersion
beta;interface;WorkspaceDbProps
beta;interface;WorkspaceDbQueryResourcesArgs
beta;type;WorkspaceDbQueryResourcesCallback
beta;interface;WorkspaceDbSettingsProps
beta;type;WorkspaceDbVersion
beta;type;WorkspaceDbVersionRange
beta;namespace;WorkspaceEditor
beta;interface;WorkspaceEditor
beta;interface;WorkspaceOpts
beta;type;WorkspaceResourceName
beta;namespace;WorkspaceSettingNames
